Proportion, R, G, B
0.44648452345762424, 148, 181, 202
0.5623622313246907, 139, 173, 192
0.4345982046987072, 147, 174, 188
0.5738088200104162, 164, 188, 203
0.45250763622031726, 154, 180, 199
0.5140472662457587, 153, 180, 201
0.46797958811149765, 138, 177, 214
0.4998817617499261, 136, 170, 196
0.49886829103500696, 144, 177, 205
0.4357457694455182, 159, 179, 193
0.5093211153808257, 143, 181, 211
0.4632462030038146, 153, 178, 197
0.5085309023751234, 156, 175, 186
0.44099369711806896, 142, 173, 195
0.45872499753670315, 134, 173, 203
0.49652886280140196, 144, 179, 205
0.5539264952212041, 141, 175, 200
0.4584533310811762, 150, 181, 195
0.5106327578061246, 158, 182, 197
0.4872809425277649, 153, 172, 182
0.4802323583730619, 145, 178, 203
0.4633067297270667, 138, 176, 206
0.4839891229652536, 140, 176, 206
0.4324183944934758, 161, 178, 186
0.5226305136795086, 154, 177, 190
0.5449319426262967, 141, 170, 193
0.44589473980546995, 158, 182, 197
0.4700411781127862, 146, 184, 216
0.6355685992990161, 145, 179, 205
0.4532598891895374, 142, 180, 213
0.5218557774868742, 150, 173, 184
0.41708542713567837, 148, 176, 192
0.5374012154791049, 141, 180, 205
0.4423954506425686, 147, 180, 208
0.5208380839773095, 154, 176, 188
0.45321002772968483, 150, 174, 191
0.62590402995369, 155, 177, 191
0.5032252609199845, 151, 184, 210
0.5124540974101276, 156, 180, 194
0.47523471700237885, 156, 180, 194
0.4683656377123714, 146, 176, 202
0.46299070137009835, 149, 179, 199
0.4612122235829005, 153, 181, 202
0.5285348310178343, 140, 177, 206
0.4865325559421037, 156, 192, 218
0.5255971735427839, 149, 177, 195
0.4548758751020058, 146, 174, 194
0.45838858156327855, 160, 176, 188
0.47146388996263366, 143, 181, 211
0.5162281998226427, 160, 173, 181
0.5274805399546754, 170, 199, 223
0.5902383063778275, 150, 175, 192
0.550684796531678, 161, 186, 206
0.4830442275479964, 137, 174, 206
0.4931817205686552, 134, 172, 205
0.52428810720268, 143, 181, 214
0.5381850491775115, 150, 183, 204
0.5173047395095134, 160, 181, 193
0.48985262446687217, 140, 165, 178
0.4571231507678448, 147, 182, 210
0.5185153867628742, 142, 178, 203
0.5438396464113283, 157, 192, 220
0.5386870248679294, 149, 184, 209
0.5995397153836409, 159, 182, 198
0.4866996044649015, 135, 178, 217
0.4880002252157144, 150, 186, 217
0.4457173824303591, 150, 183, 197
0.5188670381823648, 134, 171, 201
0.5247753189022033, 153, 175, 188
0.47959827146939177, 150, 178, 196
0.5039191684920328, 150, 173, 188
0.4545054331486492, 129, 170, 206
0.5000107374479233, 165, 192, 207
0.5079008487817237, 149, 180, 205
0.4658052549070137, 170, 194, 208
0.4651824829274578, 149, 186, 213
0.5464501997165314, 160, 183, 195
0.47309939050997285, 151, 181, 201
0.5522430528711936, 152, 179, 196
0.47093775501438817, 171, 197, 215
0.45619926555856205, 160, 179, 192
0.5589262840814718, 154, 180, 196
0.5634207451824951, 157, 175, 187
0.5796195185328351, 156, 181, 195
0.5241632843705708, 163, 198, 224
0.4668373920886484, 147, 177, 200
0.5130216910884957, 149, 180, 205
0.5043917064313163, 160, 188, 207
0.49650211843531383, 139, 176, 204
0.4738721619300987, 146, 181, 205
0.579906535478513, 155, 177, 189
0.49972551834804274, 152, 173, 188
0.491016708190814, 142, 179, 209
0.5159759803289954, 142, 177, 207
0.45827293518876433, 164, 186, 197
0.46393592612924567, 124, 160, 186
0.4611277676899906, 159, 176, 189
0.5443013679508655, 149, 176, 189
0.5055557901552581, 142, 177, 208
0.47366102219782386, 165, 181, 191
0.5445364075278353, 158, 190, 215
0.4982447250256887, 137, 172, 202
0.4514646059428797, 159, 181, 195
0.48484275007516214, 154, 185, 207
0.5258450371515698, 149, 182, 206
0.5329842489759723, 153, 176, 190
0.45914803719451963, 157, 181, 198
0.4615092268063004, 152, 185, 210
0.5107047844263334, 143, 178, 207
0.47635938797629607, 160, 178, 188
0.5112621933195388, 142, 178, 207
0.5353476063792351, 155, 176, 189
0.4254155933730276, 139, 172, 195
0.5145390819644441, 141, 175, 205
0.5279737362023794, 158, 194, 223
0.44120321495432346, 154, 177, 190
0.4630505468519066, 155, 182, 200
0.44571879002857423, 149, 184, 215
0.4662106048449531, 138, 176, 206
0.5284139715672379, 153, 180, 198
0.5990738003744212, 155, 178, 191
0.48492864965854915, 141, 180, 214
0.5403136128823388, 129, 166, 197
0.4580592035809299, 156, 181, 196
0.4575213138341279, 126, 157, 179
0.5585800149205411, 144, 174, 199
0.480135973987585, 122, 160, 193
0.47195915474809946, 148, 172, 186
0.45058204186197093, 158, 182, 198
0.4321420134862346, 147, 180, 205
0.5295695893999914, 144, 184, 219
0.46800508955031567, 162, 181, 194
0.44917585124502063, 147, 180, 202
0.46853454949819123, 148, 178, 199
0.4362557982218786, 153, 173, 184
0.5026534918180647, 173, 196, 211
0.43160057993046463, 135, 170, 197
0.47893178499334277, 144, 180, 207
0.6007481316840614, 154, 181, 194
0.4740046385775029, 154, 179, 194
0.49728333544473063, 138, 176, 209
0.4657376518446575, 155, 177, 191
0.4601565249215264, 161, 187, 201
0.5198481724863634, 153, 188, 214
0.4989161493743226, 143, 180, 210
0.4984065988204327, 156, 177, 193
0.4103162873189477, 120, 161, 196
0.4901014151956363, 155, 179, 191
0.5536791865309453, 142, 175, 204
0.5068944160578804, 160, 184, 199
0.4758769810591419, 141, 180, 211
0.4363135120044668, 140, 176, 200
0.5038286671452501, 152, 178, 191
0.4441225736525766, 149, 177, 195
0.5200548683588885, 154, 178, 193
0.4518277820727569, 140, 174, 202
0.5004448010359923, 135, 171, 199
0.4443773489295216, 147, 179, 201
0.48684599467927875, 144, 184, 220
0.507392705826049, 168, 192, 207
0.47562733539492336, 139, 178, 209
0.46080160417471977, 142, 180, 212
0.4847613417226187, 145, 179, 202
0.4873611756260293, 153, 183, 206
0.5312446312760383, 165, 199, 224
0.48789043255493153, 150, 178, 194
0.45964732852295664, 152, 181, 197
